
                                             CodeAnalysis
    ==============================================================================================
     Tue Feb  7 20:12:15 2017
     Path: "C:\Users\PranjulArora\Desktop\try\ver 5 try\Project#1 main\TestExecutiveDB"
     Args: *.h, *.cpp, TestExecutiveDB.sln, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     472

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Convert.h       class                            Convert      40       7       5
                 Convert.h    function                                  >      41       2       1
                 Convert.h    function                           toString      53       5       1
                 Convert.h    function                         fromString      65       6       1
                 Convert.h    function                                 id      75       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Convert.cpp       class                             Widget      16       7       3
               Convert.cpp    function                             Widget      17       2       1
               Convert.cpp    function                              value      18       2       1
               Convert.cpp    function                        operator<<(      25       4       1
               Convert.cpp    function                        operator>>(      31       9       2
               Convert.cpp      lambda                               []()      43       1       1
               Convert.cpp      lambda                        [](size_tn)      46       3       1
               Convert.cpp      lambda  [](conststd::string&msg,charunder      51       3       1
               Convert.cpp      lambda           [](conststd::string&msg)      55       1       1
               Convert.cpp      lambda           [](conststd::string&msg)      57       1       1
               Convert.cpp    function                               main      64      18       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           CppProperties.h       class                           Property      31      34      12
           CppProperties.h    function                           Property      33       2       1
           CppProperties.h    function                           Property      34       1       1
           CppProperties.h    function                           Property      35       2       1
           CppProperties.h    function                          ~Property      36       2       1
           CppProperties.h    function                         operator=(      41       6       1
           CppProperties.h    function                     operatorconstT      48       2       1
           CppProperties.h    function                             setter      52       2       1
           CppProperties.h    function                             getter      53       2       1
           CppProperties.h    function                           getValue      54       1       1
           CppProperties.h      lambda                       [](constT&t)      61       1       1
           CppProperties.h      lambda                              [=]()      62       1       1
           CppProperties.h    function                        operator<<(      69      11       3
           CppProperties.h       class                           Property      90      13       9
           CppProperties.h    function                           Property      91       2       1
           CppProperties.h    function                           Property      92       2       1
           CppProperties.h    function                           Property      93       2       1
           CppProperties.h    function                          ~Property      94       2       1
           CppProperties.h    function                             getter      95       2       1
           CppProperties.h    function                     operatorconstT      96       1       1
           CppProperties.h    function                           getValue      97       1       1
           CppProperties.h      lambda                              [=]()     100       1       1
           CppProperties.h    function                        operator<<(     107      11       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         CppProperties.cpp       class                                  X      14       7       1
         CppProperties.cpp    function                            toUpper      33       6       1
         CppProperties.cpp       class                                  Z      41      22       4
         CppProperties.cpp    function                                  Z      44      17       3
         CppProperties.cpp      lambda             [](conststd::string&s)      46       1       1
         CppProperties.cpp      lambda                              [=]()      53       6       1
         CppProperties.cpp       class                  UpperCaseProperty      70      12       3
